CatalogNumber,Preptype,Collector,Locality
dummy-1,herbarium sheet,"Thunberg, Carl Peter",Japan
dummy-2,herbarium sheet,"Thunberg, Carl Peter",Japan
dummy-3,herbarium sheet,"Forsskål, Peter",Egypt
dummy-4,herbarium sheet,"Forsskål, Peter",Egypt
dummy-5,herbarium sheet,"Solander, Daniel",Australia
dummy-6,herbarium sheet,"Solander, Daniel",Australia
dummy-7,herbarium sheet,"Osbeck, Pehr",China
dummy-8,herbarium sheet,"Osbeck, Pehr",China
dummy-9,herbarium sheet,"Kalm, Pehr",Canada
dummy-10,herbarium sheet,"Kalm, Pehr",Canada
